short_SMA,long_SMA,trades,sharpe_ratio
26,88,38,-0.125310
26,92,40,-0.234339
26,98,38,-0.130544
26,102,38,-0.029875
26,108,36,0.049291
26,110,36,-0.026331
26,112,38,-0.059489
26,114,36,0.004640
26,116,36,-0.005614
26,118,32,-0.029651
26,124,30,0.131835
26,132,26,0.078714
26,136,24,0.204796
26,138,24,0.213011
26,140,26,0.203160
26,142,26,0.220648
26,144,26,0.232814
26,148,28,0.189222
26,150,28,0.158358
26,152,28,0.170600
26,154,28,0.158154
26,158,24,0.199786
26,160,20,0.204851
26,162,22,0.170400
26,174,18,0.110015
26,176,18,0.086357
26,208,18,-0.148798
26,210,20,-0.178124
26,216,20,-0.181393
26,220,20,-0.182624
26,224,20,-0.090991
26,226,20,-0.107362
26,228,22,-0.118497
26,230,22,-0.118497
26,234,22,-0.145518
26,236,22,-0.179711
26,238,20,-0.212484
26,242,20,-0.174913
26,248,20,-0.178087
26,250,20,-0.173230
26,252,20,-0.157403
26,264,20,-0.137015
26,270,19,-0.134424
26,286,17,-0.192170
26,290,17,-0.217963
26,292,17,-0.125547
26,294,17,-0.144377
26,296,17,-0.167650
28,46,76,-0.187609
28,48,74,-0.144539
28,50,64,-0.110252
28,62,50,0.000907
28,68,46,-0.031787
28,84,36,-0.121504
28,88,36,0.011371
28,112,38,-0.017488
28,132,28,0.146908
28,136,26,0.202113
28,144,24,0.235488
28,148,24,0.232816
28,150,26,0.233584
28,152,26,0.247986
28,154,26,0.181756
28,158,22,0.080336
28,162,20,0.077689
28,164,22,0.001716
28,188,18,-0.130458
28,190,18,-0.104255
28,198,16,-0.074054
28,218,18,-0.200368
28,220,20,-0.200368
28,224,18,-0.136220
28,226,18,-0.020472
28,230,18,-0.067667
28,236,18,-0.118126
28,246,20,-0.308605
28,258,18,-0.254580
28,262,18,-0.227233
28,268,19,-0.264584
28,270,17,-0.226544
28,276,17,-0.242324
28,286,17,-0.142795
28,290,17,-0.165857
28,294,17,-0.131031
30,32,190,-0.272758
30,36,121,-0.127550
30,74,44,-0.142794
30,116,34,-0.205500
30,146,24,0.186975
30,172,18,-0.026894
30,184,18,-0.013110
30,206,16,-0.162751
30,210,16,-0.181254
30,218,16,-0.112696
30,224,16,-0.159735
30,266,16,-0.223042
30,268,17,-0.232448
30,298,17,-0.180956
32,36,139,-0.095109
32,42,94,-0.284953
32,50,70,-0.120775
32,54,60,-0.149925
32,76,42,-0.082584
32,86,32,0.007773
32,102,34,-0.095753
32,106,38,-0.068399
32,108,36,-0.158121
32,112,34,-0.262761
32,140,24,0.126504
32,188,18,-0.099901
32,214,16,-0.130912
32,216,16,-0.125496
32,224,16,-0.186620
32,226,16,-0.193877
32,236,18,-0.180643
32,246,18,-0.164801
32,260,16,-0.222773
32,264,16,-0.273905
32,270,17,-0.253562
32,272,17,-0.244922
32,282,17,-0.241124
32,292,17,-0.088663
32,300,17,-0.174575
34,44,86,-0.242210
34,46,78,-0.239720
34,50,80,-0.248893
34,52,66,-0.148818
34,56,58,-0.120234
34,60,54,-0.025212
34,62,54,0.058394
34,92,32,-0.140896
34,94,32,-0.138090
34,98,32,-0.124948
34,102,32,-0.117721
34,104,32,-0.275812
34,128,22,0.090182
34,132,22,0.087061
34,136,22,-0.007570
34,140,22,0.033326
34,150,22,0.042532
34,154,22,-0.050096
34,160,22,-0.059902
34,162,20,-0.001297
34,176,18,-0.043810
34,186,16,-0.075632
34,220,16,-0.145298
34,222,16,-0.154202
34,224,16,-0.158342
34,230,16,-0.175299
34,236,16,-0.121531
34,270,17,-0.147479
34,282,17,-0.154092
34,284,17,-0.136614
34,286,17,-0.054507
34,294,17,-0.050495
36,44,100,-0.304725
36,56,56,-0.016222
36,62,52,0.069135
36,98,32,-0.129578
36,104,34,-0.299085
36,116,36,-0.136874
36,118,34,-0.097049
36,136,22,0.154064
36,142,22,0.050637
36,156,22,-0.066725
36,172,18,0.007458
36,176,16,0.025800
36,218,16,-0.066829
36,220,16,-0.045960
36,224,16,-0.128538
36,226,16,-0.134956
36,228,16,-0.111033
36,278,17,-0.169692
38,50,82,-0.180676
38,100,32,-0.355715
38,126,28,0.022674
38,132,22,0.063264
38,146,22,0.026700
38,154,22,0.034080
38,172,16,0.006971
38,174,16,0.007623
38,188,16,-0.053282
38,224,16,-0.112522
38,280,17,-0.169212
40,48,90,-0.006710
40,56,66,0.056248
40,62,56,0.050237
40,88,32,-0.279874
40,96,32,-0.394728
40,142,22,0.012382
40,150,22,0.076390
40,160,18,0.145854
40,166,16,0.081626
40,170,16,0.079917
40,186,16,-0.088357
42,44,180,-0.023373
42,48,100,0.040019
42,50,86,0.032056
42,52,80,0.014202
42,56,76,0.049792
42,74,46,-0.091889
42,92,32,-0.407818
42,94,32,-0.392426
42,106,32,-0.408168
42,130,22,0.025892
42,132,22,0.030779
42,136,20,0.050222
42,140,20,0.110831
42,148,20,0.125340
42,154,16,0.172406
42,156,16,0.172257
42,158,16,0.068671
42,160,16,0.070141
42,162,16,0.072807
42,186,16,-0.123736
42,190,16,-0.108471
42,194,16,-0.129743
42,294,19,-0.037428
42,296,17,-0.058508
42,298,17,-0.093498
44,48,126,0.069684
44,56,76,0.007668
44,58,66,-0.009998
44,64,52,-0.021984
44,70,46,-0.084132
44,86,38,-0.186516
44,92,36,-0.288791
44,112,34,-0.240435
44,122,28,-0.007556
44,132,22,0.054636
44,136,20,0.136009
44,140,20,0.078838
44,144,20,0.089188
44,150,18,0.105796
44,154,16,0.057680
44,156,16,0.043496
44,160,16,0.034742
44,162,16,0.020320
44,178,16,-0.084397
44,188,16,-0.100166
44,196,16,-0.109190
44,238,16,-0.004820
44,290,19,-0.068240
44,294,19,-0.078554
44,298,19,-0.131179
44,300,19,-0.143001
46,48,170,-0.056565
46,50,128,0.130479
46,56,86,-0.017008
46,96,34,-0.252994
46,102,32,-0.352332
46,112,36,-0.264293
46,118,32,-0.056462
46,136,20,0.113478
46,138,22,0.118311
46,140,18,0.148247
46,142,18,0.137891
46,146,18,0.120192
46,154,16,0.078821
46,156,16,0.046557
46,162,16,-0.027748
46,168,16,-0.013897
46,176,16,-0.084369
46,178,16,-0.054438
46,288,17,-0.064606
46,294,17,-0.102513
46,298,19,-0.161516
48,50,176,0.166753
48,52,122,0.115593
48,74,42,-0.058017
48,94,32,-0.122715
48,106,32,-0.148378
48,112,32,-0.131800
48,120,28,0.072692
48,122,24,0.072158
48,126,26,0.085304
48,132,24,0.088786
48,136,22,0.120020
48,142,18,0.159222
48,146,18,0.203230
48,148,18,0.134630
48,150,16,0.114621
48,152,16,0.110576
48,154,16,0.038339
48,158,18,-0.019444
48,166,16,0.018846
48,168,16,0.013658
48,178,16,-0.020196
48,182,16,-0.006882
48,188,16,-0.098041
48,194,16,-0.048682
48,288,17,-0.057709
48,290,17,-0.070996
48,296,17,-0.155317
50,56,106,0.050603
50,60,70,0.090520
50,68,54,0.045812
50,84,38,-0.197969
50,100,32,-0.099573
50,104,34,-0.041976
50,106,32,-0.146252
50,108,32,-0.120153
50,110,32,-0.027886
50,122,26,0.127417
50,126,24,0.039323
50,132,24,0.094578
50,136,22,-0.006109
50,142,18,0.133075
50,150,16,0.153574
50,154,16,0.082478
50,172,16,-0.032436
50,270,17,-0.147177
50,272,17,-0.179592
50,292,17,-0.147863
50,300,17,-0.183955
52,66,54,-0.021303
52,68,54,-0.120095
52,96,32,-0.076961
52,104,36,-0.159222
52,158,16,0.056776
52,266,18,-0.183800
52,296,17,-0.155019
54,56,172,0.182697
54,62,78,0.088227
54,78,44,-0.184350
54,80,44,-0.183213
54,98,34,-0.113241
54,100,36,-0.107989
54,102,36,-0.107922
54,118,26,-0.074341
54,122,26,-0.072447
54,140,22,0.096226
54,142,20,0.077118
54,268,17,-0.117408
54,272,19,-0.196983
54,300,17,-0.213738
56,60,118,-0.023249
56,106,34,-0.218280
58,102,32,-0.164801
58,112,30,-0.211244
58,118,28,-0.025666
58,122,26,0.012511
58,136,24,0.070488
58,146,18,-0.069265
58,162,16,-0.126894
58,290,17,-0.137554
60,62,154,-0.090933
60,74,58,-0.226909
60,86,44,-0.447395
60,92,42,-0.322810
60,94,36,-0.245988
60,104,32,-0.259640
60,108,32,-0.307937
60,128,26,0.061123
60,132,28,0.071332
60,136,24,0.036205
60,162,16,-0.103785
60,282,17,-0.267288
60,286,17,-0.135253
62,96,30,-0.154841
62,154,16,-0.193058
64,98,30,-0.080336
64,110,30,-0.176032
64,114,30,-0.114543
64,144,20,-0.257965
64,154,16,-0.197265
64,156,16,-0.222232
64,158,16,-0.246833
66,84,44,-0.353495
66,94,38,-0.085509
66,108,30,-0.107494
66,118,26,-0.079948
66,136,30,-0.072360
66,160,16,-0.246730
66,286,19,-0.169272
68,108,30,-0.099477
68,128,26,-0.201021
68,290,17,-0.037600
70,76,72,-0.159840
70,82,60,-0.537783
70,84,52,-0.500781
70,126,26,-0.277420
70,132,28,-0.146198
70,156,18,-0.264018
70,282,17,-0.115116
70,286,17,-0.032775
70,298,17,-0.077030
72,74,126,-0.125610
72,102,32,-0.265595
72,122,26,-0.144709
72,142,26,-0.258684
72,284,17,-0.062275
74,78,92,-0.327397
74,118,30,-0.137428
74,154,18,-0.189748
74,160,18,-0.192503
74,162,18,-0.193710
76,98,34,-0.366243
76,104,34,-0.201550
76,108,30,-0.100302
76,120,32,-0.153190
76,146,26,-0.220771
78,106,34,-0.100927
78,118,30,0.010308
78,122,34,-0.151545
78,132,30,-0.143021
78,140,28,-0.323439
78,148,22,-0.140911
80,92,46,-0.275905
80,106,34,-0.113870
80,110,30,-0.001874
80,136,28,-0.295752
80,138,28,-0.348028
80,140,28,-0.325468
80,144,26,-0.227954
80,152,22,-0.104608
80,166,16,-0.167204
82,150,22,-0.116627
82,154,22,-0.218573
82,162,20,-0.189530
84,86,122,-0.285063
84,96,46,-0.323913
84,112,30,-0.071497
84,122,28,-0.016860
84,140,28,-0.210051
84,160,20,-0.195840
84,164,20,-0.171559
86,102,48,-0.083259
86,124,28,0.012398
86,136,26,-0.167483
86,138,26,-0.189324
86,154,24,-0.195837
86,162,24,-0.146612
88,92,82,-0.387398
88,94,66,-0.391314
88,118,30,-0.058211
88,126,26,0.031573
88,128,26,0.067133
88,132,28,-0.080946
88,136,24,-0.114987
88,142,28,-0.188866
88,150,28,-0.194359
88,154,24,-0.178109
88,162,20,-0.117828
88,170,18,-0.011642
90,92,106,-0.565272
90,102,46,-0.106068
90,110,36,-0.066662
90,112,34,0.022379
90,136,24,-0.087318
90,142,24,-0.212026
90,146,26,-0.262178
90,152,24,-0.131901
90,154,22,-0.126183
90,160,20,-0.144808
92,104,50,-0.096230
92,114,34,-0.070876
92,126,28,-0.059472
94,102,50,-0.092405
94,112,36,0.039938
94,126,28,-0.172727
94,132,26,-0.252886
94,136,26,-0.181543
94,140,22,-0.108997
94,152,20,-0.099657
96,102,66,-0.217928
96,104,52,-0.136024
96,110,42,-0.070872
96,118,32,-0.169948
96,140,24,-0.069178
96,142,22,-0.067670
96,144,22,-0.044219
98,118,34,-0.255628
98,120,30,-0.225400
98,132,26,-0.155035
98,140,24,-0.100715
98,142,22,-0.135825
98,152,22,-0.061078
98,154,18,-0.008711
100,110,46,-0.173296
100,112,42,-0.086733
100,138,26,-0.132673
100,144,22,-0.179140
100,158,18,0.020024
102,108,64,-0.330001
102,126,32,-0.207119
102,128,30,-0.174479
102,132,32,-0.138750
102,136,26,-0.116936
102,140,24,-0.170654
102,146,22,-0.213687
102,154,18,-0.020645
102,156,18,-0.012009
104,116,40,-0.241765
106,114,46,0.036519
106,136,28,-0.044751
106,138,26,-0.079321
108,126,34,-0.145336
108,128,30,-0.064714
108,146,24,-0.034600
110,114,78,-0.091212
112,118,56,-0.035681
112,120,52,-0.055630
112,128,34,0.011126
112,154,22,-0.036730
114,128,42,0.022032
114,132,32,-0.008584
114,140,28,-0.117396
114,142,30,-0.156806
116,132,38,-0.067246
116,154,22,0.042099
118,130,44,-0.197071
118,132,38,-0.093989
118,136,30,-0.008951
118,148,24,-0.171975
118,154,22,0.165428
118,156,22,0.139063
118,158,22,0.069942
118,160,20,0.148078
120,144,28,-0.102447
120,164,18,0.031903
122,150,28,0.018507
122,160,22,-0.011183
122,202,18,-0.113676
124,146,28,0.045216
126,128,82,-0.002953
126,132,56,-0.020340
126,140,40,-0.198127
126,142,34,-0.144303
126,152,26,-0.086427
126,154,26,-0.070953
126,156,28,-0.030833
126,162,22,-0.051848
128,136,52,-0.116055
128,158,28,-0.026101
128,162,24,-0.036498
128,164,22,-0.065047
130,132,82,-0.198228
130,148,32,0.029363
132,150,30,-0.026724
132,156,26,-0.049168
132,164,26,-0.206466
132,170,18,-0.121012
132,172,18,-0.147286
132,178,18,-0.210382
134,138,70,-0.458484
134,140,62,-0.340788
134,176,18,-0.195436
134,178,18,-0.179752
136,142,60,-0.154149
136,164,26,-0.183877
136,166,24,-0.183029
136,172,18,-0.228495
138,154,36,-0.120100
138,172,22,-0.215415
138,182,18,-0.257290
140,152,42,-0.201142
140,164,26,-0.240525
140,168,24,-0.248447
140,172,26,-0.253094
140,176,18,-0.269555
142,146,58,-0.095627
142,154,42,-0.244918
142,158,34,-0.244879
142,174,24,-0.292667
144,160,34,-0.221297
144,170,28,-0.379362
146,152,50,-0.238199
146,154,46,-0.161496
146,160,40,-0.183152
146,164,32,-0.371130
146,176,26,-0.298753
146,180,20,-0.232360
148,152,58,-0.186205
148,154,50,-0.188828
148,186,20,-0.234243
150,152,78,-0.177960
150,154,60,-0.217040
150,160,42,-0.234244
150,162,40,-0.231979
150,168,30,-0.408081
150,176,26,-0.252829
152,154,80,-0.125742
152,164,38,-0.326232
154,156,90,-0.199246
154,158,62,-0.215815
154,164,42,-0.359154
