short_SMA,long_SMA,trades,sharpe_ratio
55,250,10,0.087611
55,255,10,0.061409
55,260,10,0.050328
55,265,10,0.074690
55,270,10,0.079475
55,275,10,0.071283
55,280,10,0.165907
55,285,10,0.146034
55,290,10,0.179700
55,295,10,0.144602
55,300,10,0.097270
60,65,76,-0.053674
60,70,50,-0.038023
60,75,40,0.134735
60,80,30,0.023930
60,85,28,-0.117745
60,90,26,-0.126567
60,95,22,-0.070618
60,100,20,-0.093639
60,105,20,-0.092403
60,110,18,0.004246
60,115,16,-0.038267
60,120,16,-0.021968
60,125,14,0.064276
60,130,14,0.051183
60,135,14,0.073049
60,140,14,0.082099
60,145,14,0.147613
60,150,14,0.222269
60,155,14,0.104291
60,160,14,0.087031
60,165,14,0.022064
60,170,12,-0.014542
60,175,12,-0.018443
60,180,12,-0.038866
60,185,12,-0.006834
60,190,10,-0.003876
60,195,10,0.013602
60,200,10,0.023771
60,205,10,0.034385
60,210,10,0.019854
60,215,10,0.008281
60,220,10,0.000354
60,225,10,0.088030
60,230,10,0.122046
60,235,10,0.123976
60,240,10,0.141755
60,245,10,0.147075
60,250,10,0.153527
60,255,10,0.147404
60,260,10,0.151644
60,265,10,0.121679
60,270,10,0.172537
60,275,10,0.156267
60,280,10,0.129490
60,285,10,0.173058
60,290,12,0.145849
60,295,10,0.133843
60,300,10,0.115825
65,70,62,-0.046433
65,75,48,-0.064419
65,80,36,-0.070763
65,85,30,-0.073118
65,90,26,-0.112415
65,95,26,-0.148565
65,100,20,-0.162146
65,105,20,-0.072382
65,110,18,0.004965
65,115,16,0.062131
65,120,16,0.056635
65,125,14,0.086284
65,130,14,0.053926
65,135,14,0.052807
65,140,14,0.068320
65,145,14,0.069474
65,150,14,0.003323
65,155,14,0.000637
65,160,14,0.016977
65,165,14,0.027050
65,170,12,-0.035609
65,175,12,-0.037685
65,180,12,-0.022726
65,185,10,-0.080483
65,190,10,-0.003305
65,195,10,0.000774
65,200,10,0.020206
65,205,10,0.029241
65,210,10,0.035461
65,215,10,0.023540
65,220,10,0.019441
65,225,10,0.084462
65,230,10,0.087093
65,235,10,0.153170
65,240,10,0.149898
65,245,10,0.161384
65,250,10,0.106503
65,255,10,0.116574
65,260,10,0.099676
65,265,10,0.084709
